time,hr
2019-01-15 03:25:45 +0700,54
2019-01-15 03:25:51 +0700,57
2019-01-15 03:25:55 +0700,58
2019-01-15 03:26:04 +0700,58
2019-01-15 03:26:09 +0700,56
2019-01-15 03:26:12 +0700,55
2019-01-15 03:26:16 +0700,56
2019-01-15 03:26:23 +0700,57
2019-01-15 03:26:25 +0700,56
2019-01-15 03:26:31 +0700,54
2019-01-15 03:26:35 +0700,56
2019-01-15 03:26:49 +0700,56
2019-01-15 03:26:54 +0700,55
2019-01-15 03:26:59 +0700,54
2019-01-15 03:27:04 +0700,55
2019-01-15 03:27:05 +0700,55
2019-01-15 03:27:14 +0700,53
2019-01-15 03:27:19 +0700,53
2019-01-15 03:27:24 +0700,53
2019-01-15 03:27:29 +0700,53
2019-01-15 03:27:31 +0700,53
2019-01-15 03:27:36 +0700,53
2019-01-15 03:27:48 +0700,52
2019-01-15 03:27:51 +0700,52
2019-01-15 03:27:55 +0700,53
2019-01-15 03:28:00 +0700,54
2019-01-15 03:28:09 +0700,61
2019-01-15 03:28:13 +0700,60
2019-01-15 03:28:19 +0700,58
2019-01-15 03:28:21 +0700,57
2019-01-15 03:28:26 +0700,56
2019-01-15 03:28:34 +0700,54
2019-01-15 03:28:37 +0700,54
2019-01-15 03:28:40 +0700,54
2019-01-15 03:28:45 +0700,55
2019-01-15 03:28:53 +0700,59
2019-01-15 03:28:59 +0700,57
2019-01-15 03:29:03 +0700,56
2019-01-15 03:29:09 +0700,55
2019-01-15 03:29:13 +0700,54
2019-01-15 03:29:19 +0700,53
2019-01-15 03:29:23 +0700,53
2019-01-15 03:29:26 +0700,53
2019-01-15 03:29:30 +0700,52
2019-01-15 03:29:37 +0700,51
2019-01-15 03:29:41 +0700,50
2019-01-15 03:29:46 +0700,50
2019-01-15 03:29:52 +0700,50
2019-01-15 03:29:59 +0700,50
2019-01-15 03:30:04 +0700,51
2019-01-15 03:30:07 +0700,50
2019-01-15 03:30:10 +0700,51
2019-01-15 03:30:17 +0700,50
2019-01-15 03:30:21 +0700,50
2019-01-15 03:30:29 +0700,50
2019-01-15 03:30:32 +0700,51
2019-01-15 03:30:36 +0700,51
2019-01-15 03:30:41 +0700,52
2019-01-15 03:30:45 +0700,54
2019-01-15 03:30:50 +0700,54
2019-01-15 03:30:55 +0700,58
2019-01-15 03:31:04 +0700,63
2019-01-15 03:31:08 +0700,64
2019-01-15 03:31:14 +0700,59
2019-01-15 03:31:19 +0700,57
2019-01-15 03:31:24 +0700,57
2019-01-15 03:31:29 +0700,57
2019-01-15 03:31:31 +0700,57
2019-01-15 03:31:35 +0700,57
2019-01-15 03:31:41 +0700,57
2019-01-15 03:31:46 +0700,58
2019-01-15 03:31:51 +0700,59
2019-01-15 03:31:55 +0700,59
2019-01-15 03:32:04 +0700,62
2019-01-15 03:32:07 +0700,62
2019-01-15 03:32:14 +0700,61
2019-01-15 03:32:15 +0700,61
2019-01-15 03:32:24 +0700,58
2019-01-15 03:32:29 +0700,59
2019-01-15 03:32:32 +0700,59
2019-01-15 03:32:38 +0700,57
2019-01-15 03:32:49 +0700,56
2019-01-15 03:32:50 +0700,56
2019-01-15 03:32:58 +0700,56
2019-01-15 03:33:04 +0700,55
2019-01-15 03:33:06 +0700,55
2019-01-15 03:33:14 +0700,56
2019-01-15 03:33:17 +0700,56
2019-01-15 03:33:21 +0700,56
2019-01-15 03:33:27 +0700,54
2019-01-15 03:33:33 +0700,54
2019-01-15 03:33:39 +0700,52
2019-01-15 03:33:42 +0700,51
2019-01-15 03:33:45 +0700,51
2019-01-15 03:33:54 +0700,51
2019-01-15 03:33:55 +0700,51
2019-01-15 03:34:01 +0700,52
2019-01-15 03:34:05 +0700,51
2019-01-15 03:34:13 +0700,51
2019-01-15 03:34:17 +0700,51
2019-01-15 03:34:20 +0700,50
2019-01-15 03:34:26 +0700,50
2019-01-15 03:34:34 +0700,49
2019-01-15 03:34:39 +0700,49
2019-01-15 03:34:42 +0700,49
2019-01-15 03:34:49 +0700,49
2019-01-15 03:34:50 +0700,49
2019-01-15 03:34:58 +0700,48
2019-01-15 03:35:01 +0700,48
2019-01-15 03:35:05 +0700,48
2019-01-15 03:35:14 +0700,48
2019-01-15 03:35:19 +0700,48
2019-01-15 03:35:20 +0700,48
2019-01-15 03:35:27 +0700,48
2019-01-15 03:35:30 +0700,48
2019-01-15 03:35:39 +0700,48
2019-01-15 03:35:42 +0700,48
2019-01-15 03:35:49 +0700,47
2019-01-15 03:35:52 +0700,47
2019-01-15 03:35:57 +0700,48
2019-01-15 03:36:02 +0700,48
2019-01-15 03:36:09 +0700,49
2019-01-15 03:36:14 +0700,50
2019-01-15 03:36:15 +0700,50
2019-01-15 03:36:21 +0700,49
2019-01-15 03:36:25 +0700,49
2019-01-15 03:36:31 +0700,49
2019-01-15 03:36:39 +0700,48
2019-01-15 03:36:43 +0700,48
2019-01-15 03:36:48 +0700,49
2019-01-15 03:36:52 +0700,49
2019-01-15 03:36:59 +0700,49
2019-01-15 03:37:00 +0700,49
2019-01-15 03:37:08 +0700,49
2019-01-15 03:37:14 +0700,50
2019-01-15 03:37:19 +0700,50
2019-01-15 03:37:20 +0700,49
2019-01-15 03:37:28 +0700,49
2019-01-15 03:37:32 +0700,49
2019-01-15 03:37:36 +0700,49
2019-01-15 03:37:40 +0700,48
2019-01-15 03:37:47 +0700,48
2019-01-15 03:37:52 +0700,49
2019-01-15 03:37:57 +0700,48
2019-01-15 03:38:03 +0700,48
2019-01-15 03:38:08 +0700,48
2019-01-15 03:38:12 +0700,48
2019-01-15 03:38:15 +0700,48
2019-01-15 03:38:24 +0700,48
2019-01-15 03:38:29 +0700,48
2019-01-15 03:38:32 +0700,48
2019-01-15 03:38:37 +0700,49
2019-01-15 03:38:40 +0700,49
2019-01-15 03:38:49 +0700,49
2019-01-15 03:38:54 +0700,49
2019-01-15 03:38:59 +0700,49
2019-01-15 03:39:00 +0700,49
2019-01-15 03:39:05 +0700,50
2019-01-15 03:39:14 +0700,52
2019-01-15 03:39:17 +0700,52
2019-01-15 03:39:20 +0700,52
2019-01-15 03:39:29 +0700,53
2019-01-15 03:39:30 +0700,53
2019-01-15 03:39:35 +0700,51
2019-01-15 03:39:44 +0700,48
2019-01-15 03:39:49 +0700,47
2019-01-15 03:39:53 +0700,47
2019-01-15 03:39:58 +0700,48
2019-01-15 03:40:04 +0700,48
2019-01-15 03:40:09 +0700,48
2019-01-15 03:40:13 +0700,47
2019-01-15 03:40:19 +0700,47
2019-01-15 03:40:22 +0700,47
2019-01-15 03:40:27 +0700,47
2019-01-15 03:40:30 +0700,47
2019-01-15 03:40:39 +0700,49
2019-01-15 03:40:41 +0700,48
2019-01-15 03:40:45 +0700,48
2019-01-15 03:40:52 +0700,48
2019-01-15 03:40:59 +0700,46
2019-01-15 03:41:00 +0700,46
2019-01-15 03:41:08 +0700,46
2019-01-15 03:41:13 +0700,48
2019-01-15 03:41:19 +0700,48
2019-01-15 03:41:23 +0700,47
2019-01-15 03:41:25 +0700,47
2019-01-15 03:41:30 +0700,47
2019-01-15 03:41:38 +0700,48
2019-01-15 03:41:44 +0700,49
2019-01-15 03:41:49 +0700,49
2019-01-15 03:41:52 +0700,49
2019-01-15 03:41:55 +0700,49
2019-01-15 03:42:04 +0700,52
2019-01-15 03:42:05 +0700,52
2019-01-15 03:42:14 +0700,55
2019-01-15 03:42:15 +0700,54
2019-01-15 03:42:24 +0700,50
2019-01-15 03:42:29 +0700,49
2019-01-15 03:42:34 +0700,50
2019-01-15 03:42:38 +0700,50
2019-01-15 03:42:40 +0700,50
2019-01-15 03:42:48 +0700,52
2019-01-15 03:42:54 +0700,51
2019-01-15 03:42:59 +0700,51
2019-01-15 03:43:04 +0700,51
2019-01-15 03:43:07 +0700,51
2019-01-15 03:43:10 +0700,51
2019-01-15 03:43:18 +0700,53
2019-01-15 03:43:21 +0700,53
2019-01-15 03:43:27 +0700,51
2019-01-15 03:43:31 +0700,52
2019-01-15 03:43:35 +0700,52
2019-01-15 03:43:44 +0700,49
2019-01-15 03:43:46 +0700,49
2019-01-15 03:43:54 +0700,52
2019-01-15 03:43:59 +0700,51
2019-01-15 03:44:04 +0700,50
2019-01-15 03:44:08 +0700,51
2019-01-15 03:44:13 +0700,51
2019-01-15 03:44:17 +0700,52
2019-01-15 03:44:20 +0700,53
2019-01-15 03:44:26 +0700,55
2019-01-15 03:44:34 +0700,51
2019-01-15 03:44:39 +0700,52
2019-01-15 03:44:41 +0700,53
2019-01-15 03:44:47 +0700,55
2019-01-15 03:44:50 +0700,54
2019-01-15 03:44:59 +0700,52
2019-01-15 03:45:01 +0700,51
2019-01-15 03:45:08 +0700,52
2019-01-15 03:45:11 +0700,52
2019-01-15 03:45:18 +0700,51
2019-01-15 03:45:20 +0700,52
2019-01-15 03:45:26 +0700,52
2019-01-15 03:45:31 +0700,53
2019-01-15 03:45:37 +0700,54
2019-01-15 03:45:42 +0700,54
2019-01-15 03:45:49 +0700,54
2019-01-15 03:45:53 +0700,54
2019-01-15 03:45:59 +0700,54
2019-01-15 03:46:00 +0700,54
2019-01-15 03:46:05 +0700,55
2019-01-15 03:46:10 +0700,56
2019-01-15 03:46:15 +0700,57
2019-01-15 03:46:24 +0700,59
2019-01-15 03:46:27 +0700,59
2019-01-15 03:46:34 +0700,59
2019-01-15 03:46:49 +0700,66
2019-01-15 03:46:52 +0700,68
2019-01-15 03:46:55 +0700,66
2019-01-15 03:47:04 +0700,59
2019-01-15 03:47:08 +0700,59
2019-01-15 03:47:12 +0700,58
2019-01-15 03:47:15 +0700,57
2019-01-15 03:47:24 +0700,53
2019-01-15 03:47:27 +0700,52
2019-01-15 03:47:34 +0700,51
2019-01-15 03:47:39 +0700,51
2019-01-15 03:47:44 +0700,51
2019-01-15 03:47:46 +0700,51
2019-01-15 03:47:52 +0700,52
2019-01-15 03:47:55 +0700,53
2019-01-15 03:48:00 +0700,54
2019-01-15 03:48:08 +0700,57
2019-01-15 03:48:14 +0700,55
2019-01-15 03:48:19 +0700,56
2019-01-15 03:48:23 +0700,56
2019-01-15 03:48:25 +0700,56
2019-01-15 03:48:30 +0700,57
2019-01-15 03:48:37 +0700,57
2019-01-15 03:48:44 +0700,58
2019-01-15 03:48:46 +0700,57
2019-01-15 03:48:51 +0700,58
2019-01-15 03:48:55 +0700,57
2019-01-15 03:49:04 +0700,53
2019-01-15 03:49:09 +0700,52
2019-01-15 03:49:12 +0700,52
2019-01-15 03:49:15 +0700,52
2019-01-15 03:49:24 +0700,52
2019-01-15 03:49:28 +0700,52
2019-01-15 03:49:33 +0700,51
2019-01-15 03:49:35 +0700,51
2019-01-15 03:49:40 +0700,52
2019-01-15 03:49:47 +0700,53
2019-01-15 03:49:54 +0700,54
2019-01-15 03:49:55 +0700,53
2019-01-15 03:50:01 +0700,53
2019-01-15 03:50:05 +0700,53
2019-01-15 03:50:10 +0700,53
2019-01-15 03:50:18 +0700,54
2019-01-15 03:50:24 +0700,54
2019-01-15 03:50:25 +0700,54
2019-01-15 03:50:31 +0700,55
2019-01-15 03:50:35 +0700,56
2019-01-15 03:50:40 +0700,58
2019-01-15 03:50:49 +0700,60
2019-01-15 03:50:53 +0700,59
2019-01-15 03:50:55 +0700,59
2019-01-15 03:51:04 +0700,58
2019-01-15 03:51:08 +0700,58
2019-01-15 03:51:10 +0700,57
2019-01-15 03:51:18 +0700,58
2019-01-15 03:51:21 +0700,58
2019-01-15 03:51:29 +0700,59
2019-01-15 03:51:31 +0700,58
2019-01-15 03:51:35 +0700,58
2019-01-15 03:51:44 +0700,61
2019-01-15 03:51:47 +0700,61
2019-01-15 03:51:54 +0700,60
2019-01-15 03:51:56 +0700,60
2019-01-15 03:52:00 +0700,59
2019-01-15 03:52:09 +0700,58
2019-01-15 03:52:14 +0700,59
2019-01-15 03:52:16 +0700,59
2019-01-15 03:52:24 +0700,57
2019-01-15 03:52:25 +0700,57
2019-01-15 03:52:34 +0700,59
2019-01-15 03:52:39 +0700,58
2019-01-15 03:52:40 +0700,58
2019-01-15 03:52:49 +0700,59
2019-01-15 03:52:54 +0700,59
2019-01-15 03:52:55 +0700,59
2019-01-15 03:53:02 +0700,59
2019-01-15 03:53:05 +0700,59
2019-01-15 03:53:11 +0700,59
2019-01-15 03:53:16 +0700,60
2019-01-15 03:53:22 +0700,60
2019-01-15 03:53:28 +0700,58
2019-01-15 03:53:31 +0700,58
2019-01-15 03:53:36 +0700,58
2019-01-15 03:53:41 +0700,59
2019-01-15 03:53:45 +0700,57
2019-01-15 03:53:54 +0700,55
2019-01-15 03:53:59 +0700,55
2019-01-15 03:54:04 +0700,56
2019-01-15 03:54:08 +0700,57
2019-01-15 03:54:10 +0700,57
2019-01-15 03:54:15 +0700,57
2019-01-15 03:54:24 +0700,53
2019-01-15 03:54:28 +0700,53
2019-01-15 03:54:34 +0700,54
2019-01-15 03:54:36 +0700,54
2019-01-15 03:54:40 +0700,53
2019-01-15 03:54:48 +0700,52
2019-01-15 03:54:53 +0700,52
2019-01-15 03:54:56 +0700,53
2019-01-15 03:55:00 +0700,52
2019-01-15 03:55:09 +0700,53
2019-01-15 03:55:10 +0700,54
2019-01-15 03:55:16 +0700,54
2019-01-15 03:55:24 +0700,53
2019-01-15 03:55:28 +0700,53
2019-01-15 03:55:31 +0700,53
2019-01-15 03:55:35 +0700,53
2019-01-15 03:55:41 +0700,53
2019-01-15 03:55:49 +0700,52
2019-01-15 03:55:54 +0700,53
2019-01-15 03:55:58 +0700,53
2019-01-15 03:56:04 +0700,54
2019-01-15 03:56:07 +0700,53
2019-01-15 03:56:10 +0700,52
2019-01-15 03:56:19 +0700,49
2019-01-15 03:56:23 +0700,50
2019-01-15 03:56:29 +0700,52
2019-01-15 03:56:31 +0700,53
2019-01-15 03:56:35 +0700,54
2019-01-15 03:56:44 +0700,50
2019-01-15 03:56:47 +0700,49
2019-01-15 03:56:54 +0700,49
2019-01-15 03:56:57 +0700,50
2019-01-15 03:57:02 +0700,51
2019-01-15 03:57:08 +0700,50
2019-01-15 03:57:13 +0700,51
2019-01-15 03:57:19 +0700,51
2019-01-15 03:57:20 +0700,50
2019-01-15 03:57:25 +0700,51
2019-01-15 03:57:34 +0700,52
2019-01-15 03:57:35 +0700,51
2019-01-15 03:57:44 +0700,54
2019-01-15 03:57:48 +0700,53
2019-01-15 03:57:50 +0700,52
2019-01-15 03:57:59 +0700,52
2019-01-15 03:58:00 +0700,52
2019-01-15 03:58:08 +0700,51
2019-01-15 03:58:11 +0700,53
2019-01-15 03:58:16 +0700,53
2019-01-15 03:58:24 +0700,52
2019-01-15 03:58:25 +0700,52
2019-01-15 03:58:30 +0700,53
2019-01-15 03:58:39 +0700,52
2019-01-15 03:58:43 +0700,52
2019-01-15 03:58:46 +0700,53
2019-01-15 03:58:51 +0700,53
2019-01-15 03:58:56 +0700,55
2019-01-15 03:59:04 +0700,52
2019-01-15 03:59:08 +0700,53
2019-01-15 03:59:13 +0700,53
2019-01-15 03:59:19 +0700,53
2019-01-15 03:59:21 +0700,52
2019-01-15 03:59:28 +0700,53
2019-01-15 03:59:34 +0700,53
2019-01-15 03:59:37 +0700,53
2019-01-15 03:59:41 +0700,53
2019-01-15 03:59:45 +0700,55
2019-01-15 03:59:50 +0700,57
2019-01-15 03:59:59 +0700,59
2019-01-15 04:00:01 +0700,58
2019-01-15 04:00:05 +0700,61
2019-01-15 04:00:12 +0700,64
2019-01-15 04:00:15 +0700,62
2019-01-15 04:00:24 +0700,53
